Dairy Products Building,TPC,38.032798,-84.505863,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0073
Davis Marksbury Building,,38.039162,-84.498355,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0633
Dental Science Building,DSC,38.031317,-84.506307,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0297
Digital Village 1,,38.039811,-84.497903,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0495
Digital Village 2,,38.039162,-84.498355,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0633
Dimock Animal Pathology Building,AP,38.031315,-84.505339,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0076
E. S. Good Barn,ESGB,38.024802,-84.50814,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0097
Ellen H. Richards House,,38.036697,-84.508721,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0400
Emergency Management,,38.029926,-84.498,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0353
Engineering Annex,ML,38.037113,-84.504289,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0097
Engineering Quadrangle,AQ,38.037397,-84.505062,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0097
Enoch Grehan Journalism Building,EGJ,38.036752,-84.504561,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0042
Environmental Health and Safety,,38.040154,-84.498027,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0314
Environmental Quality Management Center,,38.027704,-84.508068,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0490
Erikson Hall,EH,38.036364,-84.506447,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0050
Ezra Gillis Building,GB,38.038551,-84.505439,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0033
F. Paul Anderson Tower,FPAT,38.037492,-84.505618,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0046
Faculty Club,,38.035315,-84.502836,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0014
Fine Arts Building,FA,38.036901,-84.501962,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0022
Fine Arts Library,LCLI,38.037204,-84.502998,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0224
Forestry Building,TPC,38.032798,-84.505863,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0073
Frank D. Peterson Service Building,,38.040659,-84.505751,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0005
Frazee Hall,FH,38.040049,-84.504153,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0031
Funkhouser Building,FB,38.035734,-84.505684,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0054
Gatton Business and Economics Building,BE,38.03779,-84.506445,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0034
German House,MKH,38.040942,-84.49901,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0345
Gillis Building,GB,38.038551,-84.505439,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0033
Gillis Hall,GB,38.038551,-84.505439,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0033
Gluck Equine Research Center,GERC,38.025272,-84.51079,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0099
Grand Ballroom,SC,38.040189,-84.50363,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0030
Grehan Building,EGJ,38.036752,-84.504561,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0042
Hagan Baseball Stadium,,38.028101,-84.49899,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0283
Hardymon Building,,38.039811,-84.497903,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0495
Health Sciences Learning Center,CN,38.032638,-84.507766,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0232
Health Sciences Research Building,HSRE,38.030666,-84.506043,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0305
Hilary J. Boone Center,,38.035315,-84.502836,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0014
Hilary J. Boone Tennis Center,,38.026679,-84.502964,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0213
HSLC,CN,38.032638,-84.507766,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0232
HSRB,HSRE,38.030666,-84.506043,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0305
Insectary and Conservatory,,38.034758,-84.50624,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0062
James F. Hardymon Building,,38.039811,-84.497903,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0495
James W. Stuckert Career Center,JWST,38.037145,-84.500219,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0494
Jessie Harris Psychology Services Center,,38.036332,-84.508987,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0351
Joe B. Hall Wildcat Lodge,,38.03898,-84.499269,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0242
Joe Craft Center,,38.03983,-84.500132,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0604
Johnson Student Recreation Center,,38.027695,-84.503876,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0220
K-Lair Grill and Food Storage Building,,38.032906,-84.503821,http://ukcc.uky.edu/cgi-bin/dynamo?maps.391+campus+0071
